,0,1
1083,369,4117
1084,369,4129
1085,369,4165
1086,369,4177
1087,369,4189
1088,369,4201
1089,369,4213
1090,369,4225
1091,369,4329
1092,369,5185
1093,369,5245
1094,369,5541
1095,369,5556
1096,369,5571
1097,369,5586
1098,369,5601
1099,369,5616
1100,369,5631
1101,369,5646
1102,369,5661
1103,369,5676
1104,369,5691
1105,369,5705
1106,369,5719
1107,369,5733
1108,369,5747
1109,369,5761
1110,369,5775
1111,369,5789
1112,369,5803
1113,369,5817
1114,369,6580
1115,369,6591
1116,369,6602
1117,369,6613
1118,369,6624
1119,369,6635
1120,369,6646
1121,369,6657
1122,369,6668
1123,369,6679
1124,369,7338
1125,369,7350
1126,369,7362
1127,369,7374
1128,369,7386
1129,369,7398
1130,369,7937
1131,369,7963
1132,369,7976
1133,369,7989
1134,369,8002
1135,369,8015
1136,369,8028
1137,369,8041
1138,369,8054
1139,369,8542
1140,369,23946
1141,369,24046
1142,369,24066
1143,369,24086
1144,369,24146
1145,369,24226
1146,369,24246
1147,369,24266
1148,369,24326
1149,369,24346
1150,369,24366
1151,369,24386
1152,369,24483
1153,369,24540
1154,373,15790
1155,373,15824
1156,373,15841
1157,373,20405
1158,373,20425
1159,373,20445
1160,373,20592
1161,373,20613
1162,373,20634
1163,373,20674
1164,373,20732
1165,373,20770
1166,373,20808
1167,373,20827
1168,373,21013
1169,373,21049
1170,373,21067
1171,373,21784
1172,373,22025
1173,379,15717
1174,379,15791
1175,379,15808
1176,379,15875
1177,385,4059
1178,385,4081
1179,385,4105
1180,385,4117
1181,385,4129
1182,385,4153
1183,385,4165
1184,385,4177
1185,385,4189
1186,385,4201
1187,385,4213
1188,385,4225
1189,385,4277
1190,385,4329
1191,385,4610
1192,385,4624
1193,385,4638
1194,385,4653
1195,385,4668
1196,385,4683
1197,385,4698
1198,385,4713
1199,385,4729
1200,385,4745
1201,385,5245
1202,385,5404
1203,385,5464
1204,385,5479
1205,385,5494
1206,385,5541
1207,385,5556
1208,385,5571
1209,385,5586
1210,385,5601
1211,385,5616
1212,385,5631
1213,385,5646
1214,385,5661
1215,385,5676
1216,385,5691
1217,385,5705
1218,385,5719
1219,385,5733
1220,385,5747
1221,385,5761
1222,385,5775
1223,385,5789
1224,385,5803
1225,385,5817
1226,385,6580
1227,385,6591
1228,385,6602
1229,385,6613
1230,385,6624
1231,385,6635
1232,385,6646
1233,385,6657
1234,385,6668
1235,385,6679
1236,385,6759
1237,385,7017
1238,385,7030
1239,385,7338
1240,385,7350
1241,385,7362
1242,385,7374
1243,385,7386
1244,385,7398
1245,385,7937
1246,385,7963
